NodeId,BrowseName,DisplayName,FullPath,NodeClass,DataType,Value,ParentId,Depth,NamespaceIndex,IsNamespaceNode,Timestamp
ns=2;s=Studio.Tags.Application.CTT4[11].Status,Status,Status,Studio/Tags/Application/CTT4/[11]/Status,Variable,Int32,,ns=2;s=Studio.Tags.Application.CTT4[11],7,2,False,2025-11-04T15:33:47.208985
ns=2;s=Studio.Tags.Application.CTT4[11].Status_ch1,Status_ch1,Status_ch1,Studio/Tags/Application/CTT4/[11]/Status_ch1,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[11],7,2,False,2025-11-04T15:33:47.210530
ns=2;s=Studio.Tags.Application.CTT4[11].Status_ch2,Status_ch2,Status_ch2,Studio/Tags/Application/CTT4/[11]/Status_ch2,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[11],7,2,False,2025-11-04T15:33:47.212550
ns=2;s=Studio.Tags.Application.CTT4[11].Status_ch3,Status_ch3,Status_ch3,Studio/Tags/Application/CTT4/[11]/Status_ch3,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[11],7,2,False,2025-11-04T15:33:47.215550
ns=2;s=Studio.Tags.Application.CTT4[11].Status_ch4,Status_ch4,Status_ch4,Studio/Tags/Application/CTT4/[11]/Status_ch4,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[11],7,2,False,2025-11-04T15:33:47.217548
ns=2;s=Studio.Tags.Application.CTT4[11].Status_ch5,Status_ch5,Status_ch5,Studio/Tags/Application/CTT4/[11]/Status_ch5,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[11],7,2,False,2025-11-04T15:33:47.219548
ns=2;s=Studio.Tags.Application.CTT4[11].Status_ch6,Status_ch6,Status_ch6,Studio/Tags/Application/CTT4/[11]/Status_ch6,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[11],7,2,False,2025-11-04T15:33:47.221532
ns=2;s=Studio.Tags.Application.CTT4[11].Status_ch7,Status_ch7,Status_ch7,Studio/Tags/Application/CTT4/[11]/Status_ch7,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[11],7,2,False,2025-11-04T15:33:47.223549
ns=2;s=Studio.Tags.Application.CTT4[11].Status_ch8,Status_ch8,Status_ch8,Studio/Tags/Application/CTT4/[11]/Status_ch8,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[11],7,2,False,2025-11-04T15:33:47.225532
ns=2;s=Studio.Tags.Application.CTT4[11].Temp_ch1,Temp_ch1,Temp_ch1,Studio/Tags/Application/CTT4/[11]/Temp_ch1,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[11],7,2,False,2025-11-04T15:33:47.227557
ns=2;s=Studio.Tags.Application.CTT4[11].Temp_ch2,Temp_ch2,Temp_ch2,Studio/Tags/Application/CTT4/[11]/Temp_ch2,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[11],7,2,False,2025-11-04T15:33:47.229551
ns=2;s=Studio.Tags.Application.CTT4[11].Temp_ch3,Temp_ch3,Temp_ch3,Studio/Tags/Application/CTT4/[11]/Temp_ch3,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[11],7,2,False,2025-11-04T15:33:47.231549
ns=2;s=Studio.Tags.Application.CTT4[11].Temp_ch4,Temp_ch4,Temp_ch4,Studio/Tags/Application/CTT4/[11]/Temp_ch4,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[11],7,2,False,2025-11-04T15:33:47.233549
