NodeId,BrowseName,DisplayName,FullPath,NodeClass,DataType,Value,ParentId,Depth,NamespaceIndex,IsNamespaceNode,Timestamp
ns=2;s=Studio.Tags.Application.Argus_7SR10[4].Start_Pick_up_L1,Start_Pick_up_L1,Start_Pick_up_L1,Root/Objects/Studio/Tags/Application/Argus_7SR10/[4]/Start_Pick_up_L1,Variable,Boolean,,ns=2;s=Studio.Tags.Application.Argus_7SR10[4],7,2,False,2025-11-04T15:23:13.642492
ns=2;s=Studio.Tags.Application.Argus_7SR10[4].Start_Pick_up_L2,Start_Pick_up_L2,Start_Pick_up_L2,Root/Objects/Studio/Tags/Application/Argus_7SR10/[4]/Start_Pick_up_L2,Variable,Boolean,,ns=2;s=Studio.Tags.Application.Argus_7SR10[4],7,2,False,2025-11-04T15:23:13.647509
ns=2;s=Studio.Tags.Application.Argus_7SR10[4].Start_Pick_up_L3,Start_Pick_up_L3,Start_Pick_up_L3,Root/Objects/Studio/Tags/Application/Argus_7SR10/[4]/Start_Pick_up_L3,Variable,Boolean,,ns=2;s=Studio.Tags.Application.Argus_7SR10[4],7,2,False,2025-11-04T15:23:13.652494
ns=2;s=Studio.Tags.Application.Argus_7SR10[4].Status,Status,Status,Root/Objects/Studio/Tags/Application/Argus_7SR10/[4]/Status,Variable,Int32,,ns=2;s=Studio.Tags.Application.Argus_7SR10[4],7,2,False,2025-11-04T15:23:13.655497
ns=2;s=Studio.Tags.Application.Argus_7SR10[4].Trip_Circuit_Fail_1,Trip_Circuit_Fail_1,Trip_Circuit_Fail_1,Root/Objects/Studio/Tags/Application/Argus_7SR10/[4]/Trip_Circuit_Fail_1,Variable,Boolean,,ns=2;s=Studio.Tags.Application.Argus_7SR10[4],7,2,False,2025-11-04T15:23:13.660527
ns=2;s=Studio.Tags.Application.Argus_7SR10[4].Trip_PhA,Trip_PhA,Trip_PhA,Root/Objects/Studio/Tags/Application/Argus_7SR10/[4]/Trip_PhA,Variable,Boolean,,ns=2;s=Studio.Tags.Application.Argus_7SR10[4],7,2,False,2025-11-04T15:23:13.665526
ns=2;s=Studio.Tags.Application.Argus_7SR10[4].Trip_PhB,Trip_PhB,Trip_PhB,Root/Objects/Studio/Tags/Application/Argus_7SR10/[4]/Trip_PhB,Variable,Boolean,,ns=2;s=Studio.Tags.Application.Argus_7SR10[4],7,2,False,2025-11-04T15:23:13.670493
ns=2;s=Studio.Tags.Application.Argus_7SR10[4].Trip_PhC,Trip_PhC,Trip_PhC,Root/Objects/Studio/Tags/Application/Argus_7SR10/[4]/Trip_PhC,Variable,Boolean,,ns=2;s=Studio.Tags.Application.Argus_7SR10[4],7,2,False,2025-11-04T15:23:13.677519
ns=2;s=Studio.Tags.Application.Argus_7SR10[4].Under_Over_Voltage,Under_Over_Voltage,Under_Over_Voltage,Root/Objects/Studio/Tags/Application/Argus_7SR10/[4]/Under_Over_Voltage,Variable,Boolean,,ns=2;s=Studio.Tags.Application.Argus_7SR10[4],7,2,False,2025-11-04T15:23:13.682530
ns=2;s=Studio.Tags.Application.Argus_7SR10[4].VT_Fuse_Failure,VT_Fuse_Failure,VT_Fuse_Failure,Root/Objects/Studio/Tags/Application/Argus_7SR10/[4]/VT_Fuse_Failure,Variable,Boolean,,ns=2;s=Studio.Tags.Application.Argus_7SR10[4],7,2,False,2025-11-04T15:23:13.687505
ns=2;s=Studio.Tags.Application.Cabins,Cabins,Cabins,Root/Objects/Studio/Tags/Application/Cabins,Object,,,ns=2;s=Studio.Tags.Application,5,2,False,2025-11-04T15:23:13.691537
ns=2;s=Studio.Tags.Application.Cabins[0],[0],[0],Root/Objects/Studio/Tags/Application/Cabins/[0],Object,,,ns=2;s=Studio.Tags.Application.Cabins,6,2,False,2025-11-04T15:23:13.696507
ns=2;s=Studio.Tags.Application.Cabins[0].Devices_Available,Devices_Available,Devices_Available,Root/Objects/Studio/Tags/Application/Cabins/[0]/Devices_Available,Variable,Int32,,ns=2;s=Studio.Tags.Application.Cabins[0],7,2,False,2025-11-04T15:23:13.701059
ns=2;s=Studio.Tags.Application.Cabins[0].Devices_Count,Devices_Count,Devices_Count,Root/Objects/Studio/Tags/Application/Cabins/[0]/Devices_Count,Variable,Int32,,ns=2;s=Studio.Tags.Application.Cabins[0],7,2,False,2025-11-04T15:23:13.705027
ns=2;s=Studio.Tags.Application.Cabins[0].Devices_Fault,Devices_Fault,Devices_Fault,Root/Objects/Studio/Tags/Application/Cabins/[0]/Devices_Fault,Variable,Int32,,ns=2;s=Studio.Tags.Application.Cabins[0],7,2,False,2025-11-04T15:23:13.710029
ns=2;s=Studio.Tags.Application.Cabins[0].Devices_OutOfCom,Devices_OutOfCom,Devices_OutOfCom,Root/Objects/Studio/Tags/Application/Cabins/[0]/Devices_OutOfCom,Variable,Int32,,ns=2;s=Studio.Tags.Application.Cabins[0],7,2,False,2025-11-04T15:23:13.714034
ns=2;s=Studio.Tags.Application.Cabins[0].Devices_Warning,Devices_Warning,Devices_Warning,Root/Objects/Studio/Tags/Application/Cabins/[0]/Devices_Warning,Variable,Int32,,ns=2;s=Studio.Tags.Application.Cabins[0],7,2,False,2025-11-04T15:23:13.718026
ns=2;s=Studio.Tags.Application.Cabins[0].EAct,EAct,EAct,Root/Objects/Studio/Tags/Application/Cabins/[0]/EAct,Variable,Double,,ns=2;s=Studio.Tags.Application.Cabins[0],7,2,False,2025-11-04T15:23:13.722029
ns=2;s=Studio.Tags.Application.Cabins[0].Name,Name,Name,Root/Objects/Studio/Tags/Application/Cabins/[0]/Name,Variable,String,,ns=2;s=Studio.Tags.Application.Cabins[0],7,2,False,2025-11-04T15:23:13.727057
ns=2;s=Studio.Tags.Application.Cabins[0].P,P,P,Root/Objects/Studio/Tags/Application/Cabins/[0]/P,Variable,Double,,ns=2;s=Studio.Tags.Application.Cabins[0],7,2,False,2025-11-04T15:23:13.731032
ns=2;s=Studio.Tags.Application.Cabins[0].PNom,PNom,PNom,Root/Objects/Studio/Tags/Application/Cabins/[0]/PNom,Variable,Double,,ns=2;s=Studio.Tags.Application.Cabins[0],7,2,False,2025-11-04T15:23:13.735029
ns=2;s=Studio.Tags.Application.Cabins[0].PowerPlant_Name,PowerPlant_Name,PowerPlant_Name,Root/Objects/Studio/Tags/Application/Cabins/[0]/PowerPlant_Name,Variable,String,,ns=2;s=Studio.Tags.Application.Cabins[0],7,2,False,2025-11-04T15:23:13.742052
ns=2;s=Studio.Tags.Application.Cabins[0].Q,Q,Q,Root/Objects/Studio/Tags/Application/Cabins/[0]/Q,Variable,Double,,ns=2;s=Studio.Tags.Application.Cabins[0],7,2,False,2025-11-04T15:23:13.745031
ns=2;s=Studio.Tags.Application.Cabins[0].SunIrr,SunIrr,SunIrr,Root/Objects/Studio/Tags/Application/Cabins/[0]/SunIrr,Variable,Double,,ns=2;s=Studio.Tags.Application.Cabins[0],7,2,False,2025-11-04T15:23:13.750167
ns=2;s=Studio.Tags.Application.Cabins[1],[1],[1],Root/Objects/Studio/Tags/Application/Cabins/[1],Object,,,ns=2;s=Studio.Tags.Application.Cabins,6,2,False,2025-11-04T15:23:13.751741
ns=2;s=Studio.Tags.Application.Cabins[1].Devices_Available,Devices_Available,Devices_Available,Root/Objects/Studio/Tags/Application/Cabins/[1]/Devices_Available,Variable,Int32,,ns=2;s=Studio.Tags.Application.Cabins[1],7,2,False,2025-11-04T15:23:13.755911
ns=2;s=Studio.Tags.Application.Cabins[1].Devices_Count,Devices_Count,Devices_Count,Root/Objects/Studio/Tags/Application/Cabins/[1]/Devices_Count,Variable,Int32,,ns=2;s=Studio.Tags.Application.Cabins[1],7,2,False,2025-11-04T15:23:13.761876
